,title,brand,rating,ratings_number,price,prime_option,answers,first_date,sponsored_option,categories,position,page,category,position_c,subcategory,position_s
0,"RDX Boxing Gloves Sparring and Muay Thai Maya Hide Leather, KARA Patent Pending Training Mitt for Kickboxing, Punch Bag, Focus Pads, MMA, Thai Pad, Double End Ball Punching Fight Gloves",RDX,,92,28.0,True,0,2020-11-06,True,"['1,377 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '4 in Boxing Training Gloves']",0,1,Sports & Outdoors,1377,Boxing Training Gloves,4
1,XN8 Boxing Gloves for Training Punch bag - MMA - Muay Thai - Fighting - Kickboxing - Sparring - Punching Mitts,Xn8 Sports,,305,23.0,True,5,2020-07-21,True,"['1,977 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '8 in Boxing Gloves']",1,1,Sports & Outdoors,1977,Boxing Gloves,8
2,"A1 Fight Gear Boxing Gloves - 10oz, 12oz, 14oz, 16oz Top Grain Cowhide Leather Training Gloves, Hand Made, Fully Attached Thumb - Muay Thai, Kickboxing, Sparring, Boxercise, Punchbag",A1 Fight Gear,,35,39.0,True,0,2020-12-05,True,"['18,860 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '65 in Boxing Training Gloves']",2,1,Sports & Outdoors,18860,Boxing Training Gloves,65
3,"RDX MMA Gloves Grappling Sparring, Pre-Curved Martial Arts Mitts, Ventilated Palm, Maya Hide Leather KARA Cage Fighting Gloves, Combat Sports Training, Muay Thai, Punching Bag and Kickboxing",RDX,,12,22.0,True,0,2020-11-13,True,"['4,240 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '26 in Boxing Gloves']",3,1,Sports & Outdoors,4240,Boxing Gloves,26
4,EVO Boxing Gloves with Hand Wraps For Men and Women With Leather Pro Gel for Muay Thai Kick Boxing Sparring Fighting &amp; Training,EVO Fitness,,613,22.0,True,12,2014-02-06,False,"['855 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '2 in Boxing Training Gloves']",4,1,Sports & Outdoors,855,Boxing Training Gloves,2
5,"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather NOIR Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching Matte Black",RDX,,1623,31.0,True,28,2018-10-05,False,"['1,951 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '6 in Boxing Training Gloves']",5,1,Sports & Outdoors,1951,Boxing Training Gloves,6
6,EVO Fitness Boxing Gloves Men Punch Bag Women MMA Muay Thai Martial Arts Kick Boxing Sparring Training Fighting UFC Adults Gloves With Hand Wraps,EVO Fitness,,2,16.0,False,0,2020-12-28,False,"['12,924 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '44 in Boxing Training Gloves']",6,1,Sports & Outdoors,12924,Boxing Training Gloves,44
7,"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather Gloves for Sparring, Kickboxing, Fighting, Punch Bags, Double End Speed Ball Focus Pads Punching",RDX,,269,28.0,True,3,2019-11-05,False,"['9,915 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '38 in Boxing Training Gloves']",7,1,Sports & Outdoors,9915,Boxing Training Gloves,38
8,"RDX MMA Gloves for Grappling Martial Arts, Open Palm Maya Hide ConvEX Leather Sparring Mitts for Cage Fighting, Kickboxing, Punching Bag, Muay Thai and Combat Training Matte Black",RDX,,1163,23.0,True,24,2018-10-05,False,"['2,244 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '1 in Training Gloves']",8,1,Sports & Outdoors,2244,Training Gloves,1
9,RDX Women's MMA Gloves Grappling Martial Arts Sparring Punching Bag Cage Fighting Maya Hide Leather Mitts Combat Training,RDX,,26,23.0,True,0,2018-06-29,False,"['30,732 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '17 in Training Gloves']",9,1,Sports & Outdoors,30732,Training Gloves,17
10,"SKL Kids Boxing Gloves for Training, 4Oz Punch Mitts Gloves PU Cartoon Sparring Training Gloves for Fighting, Kick Boxing",SKL,,912,14.0,False,4,2017-07-04,False,"['3,405 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '13 in Boxing Training Gloves']",10,1,Sports & Outdoors,3405,Boxing Training Gloves,13
11,Kids Boxing Gloves for Training 4oz 60z Boxing Gloves Junior Muay Thai - Maya Hide Leather MMA Mitts for Sparring Fighting Kickboxing Punch Bag Martial Arts Dummy Focus Pads Boys &amp; Girls,3X Professional Choice,,122,19.0,False,4,2018-11-08,False,"['71,885 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '96 in Boxing Fight Gloves', '186 in Boxing Training Gloves']",11,1,Sports & Outdoors,71885,Boxing Fight Gloves,96
