title,brand,rating,ratings_number,price,prime_option,answers,first_date,sponsored_option,categories,position,page,category,position_c,subcategory,position_s
"RDX Boxing Gloves Sparring and Muay Thai Maya Hide Leather, KARA Patent Pending Training Mitt for Kickboxing, Punch Bag, Focus Pads, MMA, Thai Pad, Double End Ball Punching Fight Gloves",RDX,4.9,93,28.0,True,0,2020-11-06,True,"['882 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '3 in Boxing Training Gloves']",0,1,Sports & Outdoors,882.0,Boxing Training Gloves,3.0
XN8 Boxing Gloves for Training Punch bag - MMA - Muay Thai - Fighting - Kickboxing - Sparring - Punching Mitts,Xn8 Sports,4.6,306,23.0,True,5,2020-07-21,True,"['3,900 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '21 in Boxing Gloves']",1,1,Sports & Outdoors,3900.0,Boxing Gloves,21.0
"RDX MMA Gloves Grappling Sparring, Pre-Curved Martial Arts Mitts, Ventilated Palm, Maya Hide Leather KARA Cage Fighting Gloves, Combat Sports Training, Muay Thai, Punching Bag and Kickboxing",RDX,4.9,13,22.0,True,0,2020-11-13,True,"['4,381 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '25 in Boxing Gloves']",2,1,Sports & Outdoors,4381.0,Boxing Gloves,25.0
"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather NOIR Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching Matte Black",RDX,4.7,1631,31.0,True,28,2018-10-05,True,"['2,252 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '7 in Boxing Training Gloves']",3,1,Sports & Outdoors,2252.0,Boxing Training Gloves,7.0
EVO Boxing Gloves with Hand Wraps For Men and Women With Leather Pro Gel for Muay Thai Kick Boxing Sparring Fighting &amp; Training,EVO Fitness,4.6,619,21.0,True,12,2014-02-06,False,"['570 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '2 in Boxing Training Gloves']",4,1,Sports & Outdoors,570.0,Boxing Training Gloves,2.0
"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather NOIR Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching Matte Black",RDX,4.7,1631,31.0,True,28,2018-10-05,False,"['2,252 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '7 in Boxing Training Gloves']",5,1,Sports & Outdoors,2252.0,Boxing Training Gloves,7.0
"RDX Kids Boxing Gloves for Training &amp; Muay Thai Maya Hide Leather Junior 4oz, 6oz Mitts for Sparring, Focus Pads, Fighting &amp; Kickboxing Good for Youth Punch Bag, Punching and Grappling Dummy",RDX,4.8,805,16.0,False,11,2016-07-12,False,"['1,422 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '3 in Boxing Fight Gloves']",6,1,Sports & Outdoors,1422.0,Boxing Fight Gloves,3.0
"RDX MMA Gloves for Grappling Martial Arts, Open Palm Maya Hide ConvEX Leather Sparring Mitts for Cage Fighting, Kickboxing, Punching Bag, Muay Thai and Combat Training Matte Black",RDX,4.6,1167,23.0,True,24,2018-10-05,False,"['2,637 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '2 in Training Gloves']",7,1,Sports & Outdoors,2637.0,Training Gloves,2.0
EVO Fitness Boxing Gloves Men Punch Bag Women MMA Muay Thai Martial Arts Kick Boxing Sparring Training Fighting UFC Adults Gloves With Hand Wraps,EVO Fitness,4.5,2,16.0,False,0,2020-12-28,False,"['11,948 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '45 in Boxing Training Gloves']",8,1,Sports & Outdoors,11948.0,Boxing Training Gloves,45.0
RDX Women's MMA Gloves Grappling Martial Arts Sparring Punching Bag Cage Fighting Maya Hide Leather Mitts Combat Training,RDX,4.4,26,23.0,True,0,2018-06-29,False,"['50,667 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '26 in Training Gloves']",9,1,Sports & Outdoors,50667.0,Training Gloves,26.0
"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather Gloves for Sparring, Kickboxing, Fighting, Punch Bags, Double End Speed Ball Focus Pads Punching",RDX,4.7,269,28.0,True,3,2019-11-05,False,"['23,705 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '77 in Boxing Training Gloves']",10,1,Sports & Outdoors,23705.0,Boxing Training Gloves,77.0
"RDX Kids MMA Gloves for Grappling Martial Arts Training, Maya Hide Leather Mitts for Youth, Good for Kickboxing, Sparring, Muay Thai, Junior Cage Fighting, Punching Bag",RDX,4.6,233,19.0,False,8,2015-11-10,False,"['11,147 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '8 in Training Gloves']",11,1,Sports & Outdoors,11147.0,Training Gloves,8.0
"SKL Kids Boxing Gloves for Training, 4Oz Punch Mitts Gloves PU Cartoon Sparring Training Gloves for Fighting, Kick Boxing",SKL,4.6,915,14.0,False,4,2017-07-04,False,"['3,650 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '11 in Boxing Training Gloves']",12,1,Sports & Outdoors,3650.0,Boxing Training Gloves,11.0
Kids Boxing Gloves for Training 4oz 60z Boxing Gloves Junior Muay Thai - Maya Hide Leather MMA Mitts for Sparring Fighting Kickboxing Punch Bag Martial Arts Dummy Focus Pads Boys &amp; Girls,3X Professional Choice,4.6,123,19.0,False,4,2018-11-08,False,"['80,099 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '93 in Boxing Fight Gloves', '194 in Boxing Training Gloves']",13,1,Sports & Outdoors,80099.0,Boxing Fight Gloves,93.0
SAWANS® Leather Boxing Gloves Professional MMA Sparring Kickboxing Punch Bag Training Muay Thai Fighting,SAWANS,4.6,237,16.0,False,0,2019-10-19,False,"['1,278 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '4 in Boxing Training Gloves']",14,1,Sports & Outdoors,1278.0,Boxing Training Gloves,4.0
SAWANS Punch Bag Boxing Gloves Karate Mitts MMA Body Combat Taekwondo Training Martial Art Fighting Grappling Muay Thai,SAWANS,4.4,220,7.0,False,0,2020-07-08,False,"['2,473 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '1 in Boxing Bag Gloves']",15,1,Sports & Outdoors,2473.0,Boxing Bag Gloves,1.0
"RDX MMA Gloves for Martial Arts Grappling Sparring Training, Cowhide Leather Open Palm and Wrist Strap, Padded Mitts for Muay Thai, Punching Bag, Speedball Workout Kickboxing Cage Fighting",RDX,4.3,51,24.0,True,0,2017-06-02,True,"['20,957 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '13 in Training Gloves']",16,1,Sports & Outdoors,20957.0,Training Gloves,13.0
"RDX MMA Gloves for Martial Arts Grappling Training, D. Cut Open Palm Maya Hide Leather Sparring Mitts, Good for Muay Thai, Kickboxing, Cage Fighting, Combat Sports and Punching bag",RDX,4.4,69,25.0,True,0,2020-01-21,True,"['9,248 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '6 in Training Gloves']",17,1,Sports & Outdoors,9248.0,Training Gloves,6.0
EVO Boxing Gloves with Hand Wraps For Men and Women With Leather Pro Gel for Muay Thai Kick Boxing Sparring Fighting &amp; Training,EVO Fitness,4.6,619,21.0,True,12,2014-02-06,True,"['570 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '2 in Boxing Training Gloves']",18,1,Sports & Outdoors,570.0,Boxing Training Gloves,2.0
XN8 Boxing Gloves for Training Punch bag - MMA - Muay Thai - Fighting - Kickboxing - Sparring - Punching Mitts,Xn8 Sports,4.6,306,23.0,True,5,2020-07-21,False,"['3,900 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '21 in Boxing Gloves']",19,1,Sports & Outdoors,3900.0,Boxing Gloves,21.0
